SKU_ID,Drug_Name,Category,Storage_Req,Current_Stock,Monthly_Demand,Unit_Cost_GBP,Lead_Time_Base_Days,Route,Customs_Delay_Factor,Predicted_Lead_Time,Stock_Runway_Days,Risk_Score
PH-UK-1000,Pembrolizumab,Statin,Ambient,3251,1017,236.14,14,Heathrow Air,1.1,15.4,95.9,0.0
PH-UK-1001,Adrenaline,Biologic,Ambient,3356,3209,219.18,10,Dover-Calais,2.8522426051325183,28.5,31.4,100.0
PH-UK-1002,Insulin,Antibiotic,Ambient,731,1046,322.29,12,Felixstowe,1.1,13.2,21.0,97.6
PH-UK-1003,Insulin,Inhaler,Cold Chain,4301,1043,135.5,6,Dover-Calais,1.7413457606960463,10.4,123.7,0.0
PH-UK-1004,Pembrolizumab,Inhaler,Ambient,1093,2554,142.18,13,Dover-Calais,2.6715477384571718,34.7,12.8,100.0
PH-UK-1005,Salbutamol,Oncology,Ambient,779,3482,380.81,14,Dover-Calais,2.1116761910201483,29.6,6.7,100.0
PH-UK-1006,Amoxicillin,Antibiotic,Ambient,4366,3137,386.39,14,Dover-Calais,2.663280902687064,37.3,41.8,100.0
PH-UK-1007,Salbutamol,Oncology,Ambient,957,2765,411.94,8,Eurotunnel,1.9476599064228428,15.6,10.4,100.0
PH-UK-1008,Insulin,Oncology,Cold Chain,2536,2993,443.57,12,Dover-Calais,2.8822844568505883,34.6,25.4,100.0
PH-UK-1009,Pembrolizumab,Statin,Cold Chain,1389,1235,9.27,13,Dover-Calais,2.059700623511525,26.8,33.7,100.0
PH-UK-1010,Salbutamol,Antibiotic,Ambient,4178,4395,240.39,13,Felixstowe,1.1,14.3,28.5,85.9
PH-UK-1011,Salbutamol,Statin,Ambient,1213,3319,473.63,9,Eurotunnel,1.5606113233805932,14.0,11.0,100.0
PH-UK-1012,Salbutamol,Biologic,Ambient,3363,2875,146.54,11,Felixstowe,1.1,12.1,35.1,66.1
PH-UK-1013,Salbutamol,Biologic,Cold Chain,3493,1791,403.3,8,Dover-Calais,1.762641280994424,14.1,58.5,25.299999999999997
PH-UK-1014,Salbutamol,Oncology,Ambient,3980,1572,146.54,5,Dover-Calais,2.099482959781427,10.5,76.0,0.0
PH-UK-1015,Atorvastatin,Inhaler,Ambient,3048,1209,15.92,8,Eurotunnel,2.5564723427468365,20.5,75.6,10.300000000000011
PH-UK-1016,Amoxicillin,Oncology,Cold Chain,4245,3903,218.58,6,Dover-Calais,2.164030866408475,13.0,32.6,73.8
PH-UK-1017,Atorvastatin,Biologic,Ambient,3446,1704,241.9,13,Heathrow Air,1.1,14.3,60.7,21.5
PH-UK-1018,Atorvastatin,Emergency,Ambient,1506,3726,228.01,9,Dover-Calais,2.972065823876961,26.7,12.1,100.0
PH-UK-1019,Adrenaline,Statin,Ambient,2823,1157,276.75,5,Dover-Calais,2.5520363532365185,12.8,73.2,0.0
PH-UK-1020,Atorvastatin,Oncology,Ambient,1249,2278,280.04,13,Dover-Calais,2.9746697432536346,38.7,16.4,100.0
PH-UK-1021,Atorvastatin,Emergency,Ambient,2157,3129,30.07,10,Felixstowe,1.1,11.0,20.7,91.6
PH-UK-1022,Pembrolizumab,Inhaler,Cold Chain,992,1740,144.3,5,Felixstowe,1.1,5.5,17.1,82.3
PH-UK-1023,Amoxicillin,Emergency,Ambient,2011,3905,5.91,14,Eurotunnel,2.4368522176651535,34.1,15.4,100.0
PH-UK-1024,Amoxicillin,Inhaler,Cold Chain,4878,4059,309.03,10,Dover-Calais,2.8345745098309996,28.3,36.1,100.0
PH-UK-1025,Atorvastatin,Statin,Cold Chain,1167,4203,297.33,5,Eurotunnel,2.513269698957666,12.6,8.3,100.0
PH-UK-1026,Insulin,Inhaler,Ambient,2780,3066,173.04,10,Dover-Calais,2.5174123442190117,25.2,27.2,100.0
PH-UK-1027,Atorvastatin,Biologic,Cold Chain,4089,3196,481.12,12,Dover-Calais,2.1064183447725036,25.3,38.4,99.10000000000001
PH-UK-1028,Salbutamol,Statin,Ambient,1134,893,101.8,5,Dover-Calais,1.7547637408561454,8.8,38.1,50.2
PH-UK-1029,Pembrolizumab,Emergency,Ambient,1303,3610,188.47,13,Felixstowe,1.1,14.3,10.8,100.0
PH-UK-1030,Adrenaline,Oncology,Ambient,510,1164,137.02,5,Eurotunnel,2.5027516782983703,12.5,13.1,100.0
PH-UK-1031,Atorvastatin,Biologic,Ambient,2319,4405,164.32,8,Eurotunnel,2.979589433877967,23.8,15.8,100.0
PH-UK-1032,Pembrolizumab,Antibiotic,Cold Chain,4388,2934,337.69,9,Dover-Calais,1.5015330621535217,13.5,44.9,50.7
PH-UK-1033,Salbutamol,Emergency,Cold Chain,2147,3795,334.51,13,Dover-Calais,1.7733674646666668,23.1,17.0,100.0
PH-UK-1034,Atorvastatin,Biologic,Ambient,2676,1341,387.7,6,Dover-Calais,2.3997770721505556,14.4,59.9,23.400000000000006
PH-UK-1035,Insulin,Oncology,Ambient,537,3796,29.17,11,Eurotunnel,2.951511273611687,32.5,4.2,100.0
PH-UK-1036,Pembrolizumab,Antibiotic,Cold Chain,4250,2605,8.24,14,Dover-Calais,2.6982457007329668,37.8,48.9,100.0
PH-UK-1037,Salbutamol,Statin,Ambient,1979,1049,400.84,10,Eurotunnel,2.3353289732361304,23.4,56.6,56.999999999999986
PH-UK-1038,Adrenaline,Statin,Ambient,3222,899,272.27,10,Eurotunnel,1.907839570792598,19.1,107.5,0.0
PH-UK-1039,Salbutamol,Biologic,Ambient,3141,1343,359.84,14,Dover-Calais,2.5038727920926,35.1,70.2,64.9
PH-UK-1040,Insulin,Biologic,Ambient,3921,2325,74.4,9,Dover-Calais,2.21971408490702,20.0,50.6,58.8
PH-UK-1041,Adrenaline,Biologic,Cold Chain,3158,1897,36.48,13,Eurotunnel,2.683216401725012,34.9,49.9,100.0
PH-UK-1042,Atorvastatin,Oncology,Ambient,2491,3041,332.55,10,Dover-Calais,2.1698415691253943,21.7,24.6,100.0
PH-UK-1043,Atorvastatin,Biologic,Cold Chain,2857,3582,88.2,12,Dover-Calais,2.6234235128642567,31.5,23.9,100.0
PH-UK-1044,Atorvastatin,Oncology,Cold Chain,1853,1865,267.04,13,Dover-Calais,1.9443408820154708,25.3,29.8,100.0
PH-UK-1045,Pembrolizumab,Statin,Cold Chain,1831,3515,356.18,11,Heathrow Air,1.1,12.1,15.6,100.0
PH-UK-1046,Amoxicillin,Oncology,Cold Chain,3577,4285,452.99,10,Dover-Calais,2.098498108930602,21.0,25.0,100.0
PH-UK-1047,Amoxicillin,Inhaler,Ambient,3529,3763,266.96,14,Dover-Calais,2.085780382329484,29.2,28.1,100.0
PH-UK-1048,Pembrolizumab,Antibiotic,Ambient,1880,2884,383.73,13,Dover-Calais,2.423091632020701,31.5,19.6,100.0
PH-UK-1049,Pembrolizumab,Oncology,Cold Chain,3448,3914,293.42,10,Heathrow Air,1.1,11.0,26.4,80.2
PH-UK-1050,Amoxicillin,Inhaler,Ambient,666,937,267.92,5,Eurotunnel,2.0057090021483317,10.0,21.3,87.4
PH-UK-1051,Insulin,Statin,Ambient,3230,3711,102.03,14,Felixstowe,1.1,15.4,26.1,94.0
PH-UK-1052,Salbutamol,Oncology,Ambient,3205,3239,179.76,7,Heathrow Air,1.1,7.7,29.7,63.7
PH-UK-1053,Insulin,Antibiotic,Cold Chain,4231,2198,154.01,12,Dover-Calais,2.909251948578084,34.9,57.7,89.29999999999998
PH-UK-1054,Insulin,Emergency,Ambient,1902,2229,259.36,6,Dover-Calais,1.7775769467926357,10.7,25.6,80.89999999999999
PH-UK-1055,Adrenaline,Oncology,Cold Chain,1692,2162,388.93,11,Felixstowe,1.1,12.1,23.5,89.3
PH-UK-1056,Adrenaline,Antibiotic,Cold Chain,4344,1195,196.45,14,Eurotunnel,2.9988539062749626,42.0,109.1,7.800000000000011
PH-UK-1057,Atorvastatin,Inhaler,Cold Chain,4604,2152,366.81,9,Felixstowe,1.1,9.9,64.2,1.2999999999999972
PH-UK-1058,Atorvastatin,Oncology,Ambient,3006,1421,473.0,14,Heathrow Air,1.1,15.4,63.5,19.200000000000003
PH-UK-1059,Adrenaline,Statin,Cold Chain,4917,932,173.35,5,Felixstowe,1.1,5.5,158.3,0.0
PH-UK-1060,Salbutamol,Antibiotic,Cold Chain,3802,3692,286.82,7,Eurotunnel,2.8181894465889434,19.7,30.9,97.3
PH-UK-1061,Pembrolizumab,Inhaler,Cold Chain,3509,1660,235.26,13,Dover-Calais,1.6120143102404412,21.0,63.4,36.2
PH-UK-1062,Adrenaline,Antibiotic,Ambient,816,2748,210.43,8,Eurotunnel,1.6162207908040627,12.9,8.9,100.0
PH-UK-1063,Salbutamol,Statin,Cold Chain,2224,4001,132.54,8,Heathrow Air,1.1,8.8,16.7,93.0
PH-UK-1064,Atorvastatin,Inhaler,Ambient,2247,2509,48.76,12,Felixstowe,1.1,13.2,26.9,85.8
PH-UK-1065,Insulin,Inhaler,Cold Chain,1162,2249,372.79,10,Heathrow Air,1.1,11.0,15.5,100.0
PH-UK-1066,Amoxicillin,Inhaler,Ambient,1606,1955,499.88,11,Dover-Calais,2.66128216048571,29.3,24.6,100.0
PH-UK-1067,Pembrolizumab,Antibiotic,Cold Chain,2072,2377,343.86,12,Dover-Calais,2.6148040293656063,31.4,26.2,100.0
PH-UK-1068,Amoxicillin,Inhaler,Ambient,4043,2463,447.8,7,Dover-Calais,2.77715598548099,19.4,49.2,59.79999999999999
PH-UK-1069,Insulin,Emergency,Ambient,4360,2889,324.9,7,Eurotunnel,2.7358439594562007,19.2,45.3,67.0
PH-UK-1070,Amoxicillin,Statin,Ambient,1002,1681,369.47,12,Dover-Calais,2.873554067550933,34.5,17.9,100.0
PH-UK-1071,Adrenaline,Oncology,Cold Chain,4544,2731,436.97,13,Felixstowe,1.1,14.3,49.9,43.10000000000001
PH-UK-1072,Atorvastatin,Biologic,Ambient,3836,1214,111.11,11,Dover-Calais,1.5759270988995195,17.3,94.8,0.0
PH-UK-1073,Salbutamol,Statin,Cold Chain,2104,4108,190.56,11,Heathrow Air,1.1,12.1,15.4,100.0
PH-UK-1074,Salbutamol,Antibiotic,Cold Chain,894,1268,233.77,7,Eurotunnel,2.9778633492458555,20.8,21.2,100.0
PH-UK-1075,Amoxicillin,Statin,Cold Chain,1268,4387,146.72,11,Felixstowe,1.1,12.1,8.7,100.0
PH-UK-1076,Atorvastatin,Antibiotic,Ambient,893,2743,236.32,9,Dover-Calais,1.617522254831783,14.6,9.8,100.0
PH-UK-1077,Amoxicillin,Statin,Cold Chain,603,3780,290.62,5,Heathrow Air,1.1,5.5,4.8,100.0
PH-UK-1078,Insulin,Statin,Ambient,4488,3291,97.07,11,Felixstowe,1.1,12.1,40.9,54.5
PH-UK-1079,Insulin,Biologic,Cold Chain,529,4287,470.06,10,Dover-Calais,2.1990964248513287,22.0,3.7,100.0
PH-UK-1080,Pembrolizumab,Inhaler,Ambient,3144,2500,329.11,8,Dover-Calais,2.148174424456164,17.2,37.7,76.19999999999999
PH-UK-1081,Pembrolizumab,Oncology,Ambient,3196,1711,201.01,6,Heathrow Air,1.1,6.6,56.0,7.799999999999997
PH-UK-1082,Pembrolizumab,Inhaler,Cold Chain,4144,4256,398.0,8,Eurotunnel,1.604828163393406,12.8,29.2,80.0
PH-UK-1083,Amoxicillin,Biologic,Ambient,2665,2583,419.27,10,Eurotunnel,2.2979241935352968,23.0,31.0,100.0
PH-UK-1084,Adrenaline,Inhaler,Ambient,3560,2872,164.05,8,Felixstowe,1.1,8.8,37.2,52.0
PH-UK-1085,Salbutamol,Statin,Ambient,1952,4048,272.02,5,Dover-Calais,1.5197454503537688,7.6,14.5,93.8
PH-UK-1086,Pembrolizumab,Inhaler,Ambient,1305,1527,248.29,5,Heathrow Air,1.1,5.5,25.6,65.3
PH-UK-1087,Atorvastatin,Oncology,Ambient,2637,4056,489.53,6,Heathrow Air,1.1,6.6,19.5,80.8
PH-UK-1088,Insulin,Oncology,Cold Chain,3614,1555,349.24,5,Eurotunnel,1.9628750359797742,9.8,69.7,0.0
PH-UK-1089,Amoxicillin,Inhaler,Cold Chain,4764,1810,367.95,12,Dover-Calais,2.597656503169419,31.2,79.0,35.599999999999994
PH-UK-1090,Adrenaline,Antibiotic,Ambient,626,2232,57.93,7,Felixstowe,1.1,7.7,8.4,100.0
PH-UK-1091,Insulin,Statin,Cold Chain,2516,3545,363.59,5,Felixstowe,1.1,5.5,21.3,73.9
PH-UK-1092,Insulin,Antibiotic,Cold Chain,4942,2150,110.61,5,Eurotunnel,2.790255210197545,14.0,69.0,4.0
PH-UK-1093,Insulin,Antibiotic,Cold Chain,4357,3337,6.12,7,Felixstowe,1.1,7.7,39.2,44.699999999999996
PH-UK-1094,Insulin,Antibiotic,Cold Chain,1700,2582,378.84,14,Dover-Calais,2.048893313275382,28.7,19.8,100.0
PH-UK-1095,Atorvastatin,Biologic,Ambient,2273,4348,220.91,10,Felixstowe,1.1,11.0,15.7,100.0
PH-UK-1096,Salbutamol,Antibiotic,Cold Chain,2493,1010,231.21,8,Heathrow Air,1.1,8.8,74.0,0.0
PH-UK-1097,Atorvastatin,Inhaler,Cold Chain,2038,3912,71.85,12,Dover-Calais,1.928249960303493,23.1,15.6,100.0
PH-UK-1098,Salbutamol,Antibiotic,Ambient,818,933,432.47,5,Heathrow Air,1.1,5.5,26.3,63.9
PH-UK-1099,Adrenaline,Antibiotic,Ambient,3948,840,339.06,6,Felixstowe,1.1,6.6,141.0,0.0
PH-UK-1100,Amoxicillin,Inhaler,Cold Chain,795,1813,354.71,11,Dover-Calais,2.932269642456449,32.3,13.2,100.0
PH-UK-1101,Insulin,Emergency,Cold Chain,1431,3777,117.31,10,Eurotunnel,2.686294140063935,26.9,11.4,100.0
PH-UK-1102,Salbutamol,Antibiotic,Ambient,3340,1213,177.03,10,Felixstowe,1.1,11.0,82.6,0.0
PH-UK-1103,Pembrolizumab,Emergency,Cold Chain,1187,3943,392.93,12,Felixstowe,1.1,13.2,9.0,100.0
PH-UK-1104,Adrenaline,Emergency,Cold Chain,1116,3409,477.49,11,Felixstowe,1.1,12.1,9.8,100.0
PH-UK-1105,Atorvastatin,Inhaler,Cold Chain,3165,1334,489.2,11,Eurotunnel,2.5343437731956655,27.9,71.2,41.29999999999998
PH-UK-1106,Insulin,Inhaler,Cold Chain,3771,1565,372.45,14,Dover-Calais,1.906157996115339,26.7,72.3,35.5
PH-UK-1107,Atorvastatin,Oncology,Ambient,4332,2658,9.59,14,Dover-Calais,2.682353686956691,37.6,48.9,100.0
PH-UK-1108,Insulin,Statin,Cold Chain,3824,2211,278.85,13,Felixstowe,1.1,14.3,51.9,39.10000000000001
PH-UK-1109,Salbutamol,Antibiotic,Cold Chain,1079,3341,131.28,11,Eurotunnel,2.525891741316923,27.8,9.7,100.0
PH-UK-1110,Amoxicillin,Emergency,Ambient,533,2639,489.51,6,Felixstowe,1.1,6.6,6.1,100.0
PH-UK-1111,Amoxicillin,Antibiotic,Ambient,4275,1454,163.13,13,Dover-Calais,1.938935475815991,25.2,88.2,0.0
PH-UK-1112,Amoxicillin,Emergency,Ambient,1077,2330,257.66,12,Eurotunnel,2.305894396851545,27.7,13.9,100.0
PH-UK-1113,Pembrolizumab,Statin,Cold Chain,2766,3229,362.89,12,Eurotunnel,2.436118432426268,29.2,25.7,100.0
PH-UK-1114,Insulin,Biologic,Ambient,1339,2607,277.67,12,Felixstowe,1.1,13.2,15.4,100.0
PH-UK-1115,Atorvastatin,Emergency,Cold Chain,4700,4055,63.38,11,Eurotunnel,2.4708664502582964,27.2,34.8,100.0
PH-UK-1116,Amoxicillin,Antibiotic,Cold Chain,1306,1498,461.09,6,Dover-Calais,2.682949956806536,16.1,26.2,95.9
PH-UK-1117,Salbutamol,Antibiotic,Cold Chain,1425,1237,55.13,14,Dover-Calais,1.8519369079871169,25.9,34.6,100.0
PH-UK-1118,Pembrolizumab,Antibiotic,Cold Chain,895,3781,68.97,9,Dover-Calais,2.26847634934421,20.4,7.1,100.0
PH-UK-1119,Salbutamol,Inhaler,Ambient,4189,2075,61.65,8,Felixstowe,1.1,8.8,60.6,5.199999999999999
PH-UK-1120,Amoxicillin,Statin,Cold Chain,1970,1955,408.49,7,Dover-Calais,2.9298454449211118,20.5,30.2,100.0
PH-UK-1121,Insulin,Oncology,Ambient,4168,1380,212.09,9,Eurotunnel,1.6967098573855453,15.3,90.6,0.0
PH-UK-1122,Atorvastatin,Inhaler,Ambient,4788,4167,485.53,6,Eurotunnel,2.811965137585114,16.9,34.5,81.69999999999999
PH-UK-1123,Adrenaline,Oncology,Ambient,4434,1436,293.86,8,Dover-Calais,2.147092855784074,17.2,92.6,0.0
PH-UK-1124,Salbutamol,Biologic,Cold Chain,4896,4183,47.32,8,Heathrow Air,1.1,8.8,35.1,56.2
PH-UK-1125,Atorvastatin,Inhaler,Ambient,730,2409,124.1,14,Dover-Calais,1.9958935765665244,27.9,9.1,100.0
PH-UK-1126,Atorvastatin,Oncology,Cold Chain,1395,4406,6.46,9,Dover-Calais,1.9788669636137417,17.8,9.5,100.0
PH-UK-1127,Amoxicillin,Emergency,Cold Chain,3096,2410,426.22,8,Eurotunnel,2.684060519896316,21.5,38.5,87.5
PH-UK-1128,Atorvastatin,Inhaler,Ambient,584,2171,75.91,9,Dover-Calais,1.6967758830983997,15.3,8.1,100.0
PH-UK-1129,Atorvastatin,Inhaler,Cold Chain,3466,2438,285.97,13,Eurotunnel,1.5578935122948565,20.3,42.6,75.7
PH-UK-1130,Insulin,Emergency,Cold Chain,4426,4310,33.46,12,Eurotunnel,2.462503029916396,29.6,30.8,100.0
PH-UK-1131,Insulin,Oncology,Ambient,3147,908,121.14,5,Eurotunnel,2.001530686416885,10.0,104.0,0.0
PH-UK-1132,Amoxicillin,Statin,Ambient,2708,2075,307.64,13,Dover-Calais,1.6741160005741504,21.8,39.2,87.0
PH-UK-1133,Atorvastatin,Biologic,Ambient,3343,1591,165.12,6,Felixstowe,1.1,6.6,63.0,0.0
PH-UK-1134,Amoxicillin,Statin,Ambient,4485,4316,178.59,14,Eurotunnel,2.0932653120834823,29.3,31.2,100.0
PH-UK-1135,Amoxicillin,Biologic,Ambient,4172,3932,370.53,12,Dover-Calais,1.6011970771439479,19.2,31.8,94.0
PH-UK-1136,Pembrolizumab,Biologic,Ambient,2290,3316,431.4,6,Eurotunnel,2.8806910126869214,17.3,20.7,100.0
PH-UK-1137,Insulin,Antibiotic,Cold Chain,2712,2773,60.83,8,Dover-Calais,1.8615411142266485,14.9,29.3,86.1
PH-UK-1138,Atorvastatin,Statin,Cold Chain,923,2275,314.78,8,Eurotunnel,1.8502895610093455,14.8,12.2,100.0
PH-UK-1139,Atorvastatin,Statin,Ambient,3962,1110,58.14,12,Eurotunnel,2.898085841327352,34.8,107.1,0.0
PH-UK-1140,Atorvastatin,Antibiotic,Ambient,2576,3319,276.9,11,Felixstowe,1.1,12.1,23.3,89.69999999999999
PH-UK-1141,Atorvastatin,Oncology,Ambient,1386,3187,140.26,11,Dover-Calais,1.8650767294794246,20.5,13.0,100.0
PH-UK-1142,Insulin,Statin,Cold Chain,1943,3553,19.45,9,Dover-Calais,2.572260075543949,23.2,16.4,100.0
PH-UK-1143,Atorvastatin,Inhaler,Ambient,3722,1649,451.73,14,Felixstowe,1.1,15.4,67.7,10.799999999999997
PH-UK-1144,Atorvastatin,Oncology,Ambient,4441,3915,302.61,11,Eurotunnel,1.632689399600228,18.0,34.0,86.0
PH-UK-1145,Pembrolizumab,Antibiotic,Ambient,856,3288,481.53,8,Felixstowe,1.1,8.8,7.8,100.0
PH-UK-1146,Salbutamol,Statin,Ambient,4122,3927,458.69,10,Felixstowe,1.1,11.0,31.5,70.0
PH-UK-1147,Amoxicillin,Biologic,Cold Chain,4541,3056,338.92,6,Dover-Calais,2.592710850206609,15.6,44.6,57.599999999999994
PH-UK-1148,Salbutamol,Inhaler,Cold Chain,4421,3303,469.79,7,Eurotunnel,2.2674127677139584,15.9,40.2,67.3
PH-UK-1149,Amoxicillin,Statin,Cold Chain,2526,2609,461.68,9,Dover-Calais,1.535395994121453,13.8,29.0,83.4
PH-UK-1150,Atorvastatin,Inhaler,Ambient,580,3403,429.84,7,Dover-Calais,2.23509051745687,15.6,5.1,100.0
PH-UK-1151,Pembrolizumab,Statin,Ambient,1822,1233,93.41,11,Heathrow Air,1.1,12.1,44.3,47.7
PH-UK-1152,Amoxicillin,Statin,Ambient,804,2271,77.25,12,Eurotunnel,2.2425944533671567,26.9,10.6,100.0
PH-UK-1153,Atorvastatin,Oncology,Cold Chain,1872,3150,249.13,10,Dover-Calais,1.9480142947397325,19.5,17.8,100.0
PH-UK-1154,Atorvastatin,Biologic,Cold Chain,503,2629,56.58,12,Felixstowe,1.1,13.2,5.7,100.0
PH-UK-1155,Insulin,Oncology,Cold Chain,922,1608,102.97,8,Felixstowe,1.1,8.8,17.2,92.0
PH-UK-1156,Insulin,Emergency,Ambient,1905,3753,414.26,12,Felixstowe,1.1,13.2,15.2,100.0
PH-UK-1157,Pembrolizumab,Emergency,Ambient,2181,3952,486.15,13,Eurotunnel,2.7948394645110834,36.3,16.6,100.0
PH-UK-1158,Adrenaline,Oncology,Cold Chain,3805,1739,52.66,14,Dover-Calais,1.673291661544848,23.4,65.6,39.0
PH-UK-1159,Amoxicillin,Emergency,Cold Chain,755,4336,322.13,7,Eurotunnel,1.9273087719743798,13.5,5.2,100.0
PH-UK-1160,Salbutamol,Biologic,Ambient,3861,1598,245.78,7,Eurotunnel,2.8843875844539624,20.2,72.5,15.599999999999994
PH-UK-1161,Adrenaline,Emergency,Ambient,2932,3071,205.32,11,Dover-Calais,2.680143806970346,29.5,28.6,100.0
PH-UK-1162,Insulin,Biologic,Cold Chain,4043,2668,448.57,12,Eurotunnel,1.8164254858482691,21.8,45.5,74.4
PH-UK-1163,Amoxicillin,Oncology,Ambient,2816,4105,443.24,5,Felixstowe,1.1,5.5,20.6,75.3
PH-UK-1164,Adrenaline,Emergency,Ambient,840,2083,364.7,7,Dover-Calais,1.7253080680997686,12.1,12.1,100.0
PH-UK-1165,Amoxicillin,Antibiotic,Ambient,2895,3274,153.23,14,Heathrow Air,1.1,15.4,26.5,93.2
PH-UK-1166,Insulin,Statin,Cold Chain,2278,1631,74.19,5,Dover-Calais,2.1755096324159533,10.9,41.9,48.900000000000006
PH-UK-1167,Salbutamol,Inhaler,Cold Chain,4809,2401,295.27,7,Dover-Calais,2.545836318156438,17.8,60.1,33.2
PH-UK-1168,Atorvastatin,Inhaler,Ambient,1077,2744,227.91,12,Dover-Calais,1.5412808801727738,18.5,11.8,100.0
